Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Asia & Oceania,4611,5063,5996,5819,6015,5572,5777,6042,6033,6332,6813,7967,8278,7758,9036,9040,9099,10056,10250,10564,11931,13143,14175,14668,15438,16702,17296,19840,20290,289604
Afghanistan,0,0,0,0,0,0,1,3,1,2,3,3,1,4,1,3,2,3,10,6,10,1,5,3,8,12,11,34,39,166
Armenia,0,0,2,2,3,31,54,59,104,116,136,182,183,179,211,198,171,188,212,184,201,191,188,207,194,201,207,207,205,4016
Australia,746,789,851,802,844,808,845,899,929,977,921,898,1121,1004,1004,1200,1174,1197,1279,1362,1514,1564,1766,1667,1681,1920,1881,2078,2071,35792
Azerbaijan,0,0,2,2,4,1,1,1,0,2,1,2,1,2,10,19,2,3,4,4,6,8,12,12,11,13,16,19,31,189
Bahrain,7,8,11,8,5,6,5,5,7,6,6,7,6,7,11,12,13,16,13,9,10,12,9,15,31,22,21,27,33,348
Bangladesh,0,0,0,1,1,4,1,1,10,3,3,11,4,6,7,5,6,9,11,7,7,12,9,9,16,19,23,91,116,392
Brunei Darussalam,8,10,8,11,9,16,20,29,20,12,18,14,22,24,21,21,26,38,31,34,37,46,47,47,46,59,57,45,62,838
Cambodia,0,0,0,0,7,4,1,1,1,2,1,1,1,1,2,3,3,2,2,2,5,47,95,58,25,24,36,98,118,540
"China, People's Republic of",188,249,303,227,229,154,365,205,232,238,239,297,313,360,397,425,505,535,592,618,784,1066,1397,1234,1540,1518,2087,2585,2226,21108
   China (Mainland),28,46,69,34,15,34,209,29,84,83,95,162,199,242,254,287,357,366,401,419,573,809,1088,932,1262,1188,1708,2146,1456,14575
   Hong Kong,131,178,218,183,204,113,147,167,142,150,141,125,105,106,128,121,130,146,173,180,191,224,283,273,249,298,346,403,721,5976
   Macao,30,24,16,10,10,7,9,8,6,4,3,10,10,12,15,18,18,22,18,19,20,33,26,30,28,31,33,37,48,555
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,7
Fiji,2,1,2,3,2,4,3,2,2,3,2,8,11,3,4,7,2,2,1,2,2,1,1,2,2,2,2,4,3,85
"Iran, Islamic Rep. of",4,5,2,5,1,0,0,0,2,2,3,7,4,13,33,43,61,36,70,67,146,137,156,108,82,102,161,208,245,1703
Iraq,8,0,0,0,0,1,1,2,0,3,1,9,5,7,10,9,6,17,24,14,11,20,22,53,37,33,53,176,224,746
Israel,273,341,453,469,479,450,461,462,523,452,357,430,394,431,461,505,593,587,593,514,657,648,662,639,592,620,599,719,734,15098
Jordan,51,64,106,47,47,78,81,95,128,119,174,159,204,162,222,159,189,232,257,336,356,326,405,550,566,564,636,673,816,7802
Kazakhstan,0,0,1,4,9,11,3,3,21,10,19,33,35,57,66,66,112,164,151,184,158,133,132,138,131,128,145,182,206,2302
Kiribati,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,13
"Korea, Dem. People's Rep. of",0,0,0,2,1,2,1,0,0,1,25,29,27,8,27,20,9,26,3,4,16,20,7,15,44,47,20,27,41,422
"Korea, Rep. of",896,865,1004,1079,1185,1103,997,1179,1071,1138,1316,1331,1412,1403,1501,1537,1572,1587,1845,1799,2011,2346,2106,2141,2419,2518,2780,2893,2899,47933
Kuwait,21,19,45,34,33,40,46,38,51,56,52,77,87,73,73,90,60,62,75,72,72,83,101,96,156,164,222,209,262,2469
Kyrgyz Republic,0,0,2,1,0,0,0,2,5,2,0,0,1,3,5,6,7,7,8,14,17,21,19,17,20,21,40,22,19,259
Lebanon,167,267,350,250,217,300,300,255,306,283,275,425,323,315,415,357,316,436,397,422,461,432,451,647,612,646,639,620,643,11527
Malaysia,179,201,214,212,231,314,407,416,305,393,510,630,668,546,761,509,768,970,1014,868,1244,1587,1742,1957,1823,1844,1948,2044,2324,26629
"Micronesia, Fed. States of",0,0,0,0,0,1,0,1,0,1,1,3,4,3,3,3,4,4,6,9,4,4,5,6,5,5,4,2,3,81
Mongolia,0,0,0,0,1,1,2,1,3,1,1,5,14,5,9,11,12,8,10,9,11,16,14,22,24,26,27,32,33,298
Myanmar,0,0,1,0,1,2,1,0,0,0,0,57,55,62,82,64,83,109,159,195,315,257,353,189,202,210,172,391,362,3322
New Zealand,134,127,135,150,147,149,157,163,190,171,190,197,205,222,236,243,260,259,262,282,280,271,286,323,329,359,348,376,405,6856
Oman,36,52,59,34,40,55,41,46,57,56,75,60,45,64,60,58,55,61,67,69,55,74,88,115,115,102,99,69,166,1973
Pakistan,3,2,5,1,1,4,5,1,1,2,2,3,2,6,9,8,8,8,11,10,10,8,5,17,18,13,12,26,23,224
Qatar,5,11,11,5,7,16,13,12,11,21,15,19,20,24,21,32,23,32,45,54,58,42,49,46,44,55,75,95,65,926
Samoa,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,7,9,12,14,16,14,20,110
Saudi Arabia,275,343,232,144,107,291,281,215,344,365,413,389,454,474,566,596,644,758,831,854,955,1030,1215,1332,1383,1684,1371,1532,1246,20324
Singapore,1214,1099,1552,1615,1770,1041,862,1100,698,870,944,1052,1119,991,1393,1264,1015,879,767,582,624,644,761,681,767,874,681,699,807,28365
Solomon Islands,0,0,0,0,0,0,0,2,2,2,2,0,1,0,3,4,8,11,11,10,10,5,10,2,7,10,3,2,1,106
Syrian Arab Republic,26,166,181,229,185,200,219,209,268,277,221,641,450,208,344,408,266,594,347,725,501,605,478,437,463,423,403,460,460,10394
Taiwan,146,184,173,157,213,166,210,254,268,318,402,443,478,491,361,325,295,358,319,360,453,470,476,557,583,667,698,851,789,11465
